iter	Passed	Remaining
0	2	290
1	4	208
2	5	169
3	6	144
4	6	132
5	7	124
6	8	118
7	10	122
8	12	125
9	14	127
10	15	123
11	20	151
12	23	154
13	25	159
14	27	153
15	28	149
16	29	145
17	31	142
18	33	142
19	35	142
20	36	139
21	38	135
22	39	131
23	40	127
24	41	124
25	43	123
26	44	119
27	46	119
28	47	116
29	48	114
30	50	111
31	54	115
32	55	112
33	56	110
34	57	107
35	58	104
36	60	102
37	61	99
38	62	97
39	64	96
40	65	94
41	66	91
42	67	89
43	68	87
44	69	85
45	70	83
46	71	80
47	72	78
48	73	77
49	77	77
50	78	75
51	80	73
52	81	71
53	82	69
54	82	67
55	83	65
56	85	64
57	88	63
58	89	62
59	90	60
60	92	59
61	93	57
62	94	55
63	96	54
64	97	52
65	98	50
66	99	49
67	101	47
68	102	46
69	104	44
70	108	44
71	109	42
72	111	41
73	112	39
74	113	37
75	148	47
76	152	45
77	153	43
78	154	41
79	155	38
80	157	36
81	169	37
82	171	35
83	172	32
84	173	30
85	174	28
86	176	26
87	178	24
88	180	22
89	181	20
90	182	18
91	183	15
92	184	13
93	185	11
94	186	9
95	187	7
96	188	5
97	190	3
98	192	1
99	193	0
