iter	Passed	Remaining
0	172	172517
1	173	86732
2	174	58120
3	177	44250
4	178	35579
5	179	29795
6	180	25659
7	182	22577
8	183	20196
9	184	18266
10	185	16678
11	186	15359
12	187	14245
13	188	13287
14	190	12480
15	193	11886
16	194	11258
17	195	10680
18	196	10167
19	197	9701
20	199	9278
21	200	8894
22	201	8546
23	202	8224
24	203	7929
25	204	7656
26	205	7401
27	206	7177
28	207	6962
29	210	6793
30	211	6601
31	212	6421
32	213	6252
33	214	6090
34	215	5938
35	216	5796
36	217	5659
37	218	5531
38	220	5445
39	222	5332
40	223	5229
41	224	5126
42	225	5026
43	227	4933
44	228	4841
45	229	4754
46	230	4669
47	231	4590
48	232	4514
49	235	4470
50	236	4400
51	237	4330
52	238	4264
53	239	4199
54	240	4136
55	241	4077
56	242	4018
57	243	3962
58	245	3911
59	246	3858
60	247	3810
61	250	3783
62	251	3735
63	252	3688
64	253	3642
65	254	3599
66	255	3555
67	256	3513
68	257	3472
69	258	3432
70	259	3394
71	260	3356
72	261	3319
73	262	3283
74	264	3265
75	266	3237
76	267	3204
77	268	3171
78	269	3139
79	270	3107
80	271	3077
81	272	3048
82	272	3014
83	273	2985
84	274	2957
85	275	2930
86	276	2903
87	277	2877
88	280	2866
89	281	2842
90	282	2817
91	283	2796
92	284	2772
93	285	2750
94	286	2729
95	287	2706
96	288	2685
97	289	2664
98	290	2642
99	291	2622
100	292	2602
101	293	2586
102	295	2571
103	296	2553
104	297	2535
105	298	2519
106	299	2501
107	300	2483
108	301	2466
109	302	2449
110	303	2432
111	304	2416
112	305	2399
113	308	2396
114	309	2380
115	310	2365
116	311	2348
117	312	2335
118	313	2320
119	314	2307
120	315	2295
121	316	2279
122	317	2266
123	318	2252
124	319	2239
125	322	2239
126	323	2226
127	324	2213
128	326	2203
129	327	2191
130	328	2179
131	329	2167
132	330	2155
133	331	2144
134	332	2132
135	333	2120
136	334	2108
137	337	2107
138	338	2096
139	339	2085
140	340	2075
141	341	2062
142	342	2052
143	343	2042
144	344	2032
145	345	2022
146	346	2012
147	347	2002
148	348	1992
149	349	1982
150	350	1973
151	352	1964
152	354	1962
153	356	1957
154	357	1949
155	358	1940
156	359	1931
157	360	1922
158	361	1914
159	362	1905
160	363	1896
161	365	1888
162	368	1892
163	370	1889
164	372	1883
165	373	1877
166	376	1877
167	381	1890
168	383	1885
169	385	1880
170	386	1874
171	388	1867
172	389	1861
173	390	1854
174	391	1846
175	395	1852
176	396	1845
177	397	1837
178	399	1830
179	400	1822
180	401	1815
181	402	1808
182	403	1800
183	404	1793
184	405	1785
185	406	1778
186	408	1775
187	409	1769
188	410	1763
189	412	1756
190	413	1750
191	414	1744
192	415	1737
193	416	1731
194	417	1724
195	418	1718
196	419	1711
197	420	1704
198	423	1705
199	424	1698
200	425	1692
201	426	1686
202	427	1680
203	428	1673
204	430	1667
205	431	1661
206	432	1655
207	433	1649
208	434	1644
209	435	1638
210	437	1637
211	438	1631
212	440	1625
213	441	1620
214	442	1614
215	443	1609
216	444	1603
217	445	1598
218	446	1592
219	447	1587
220	449	1583
221	450	1578
222	452	1577
223	453	1572
224	455	1567
225	456	1563
226	457	1557
227	458	1552
228	459	1547
229	460	1542
230	461	1537
231	462	1532
232	464	1527
233	465	1522
234	467	1523
235	468	1517
236	469	1512
237	470	1507
238	471	1502
239	472	1497
240	473	1492
241	475	1488
242	476	1483
243	477	1478
244	478	1473
245	479	1469
246	481	1467
247	482	1463
248	483	1458
249	484	1454
250	485	1449
251	486	1444
252	487	1439
253	488	1435
254	489	1430
255	490	1426
256	491	1421
257	493	1418
258	494	1414
259	495	1411
260	496	1406
261	498	1402
262	499	1398
263	500	1395
264	501	1391
265	502	1386
266	503	1382
267	504	1378
268	505	1374
269	506	1370
270	509	1370
271	510	1366
272	511	1362
273	512	1358
274	514	1355
275	515	1351
276	516	1347
277	517	1343
278	518	1340
279	519	1336
280	520	1332
281	521	1328
282	524	1329
283	525	1325
284	526	1321
285	527	1318
286	529	1314
287	530	1310
288	531	1306
289	532	1303
290	534	1301
291	535	1298
292	538	1298
293	539	1294
294	540	1290
295	541	1286
296	542	1283
297	543	1279
298	544	1275
299	545	1272
300	546	1268
301	547	1266
302	549	1263
303	550	1260
304	552	1258
305	553	1255
306	556	1255
307	557	1252
308	558	1249
309	559	1246
310	561	1243
311	562	1239
312	563	1236
313	564	1233
314	566	1232
315	567	1229
316	569	1226
317	569	1222
318	570	1218
319	571	1215
320	572	1211
321	574	1208
322	575	1205
323	576	1202
324	577	1198
325	578	1195
326	579	1193
327	582	1194
328	584	1191
329	585	1188
330	586	1184
331	587	1181
332	588	1178
333	589	1174
334	590	1171
335	591	1168
336	592	1165
337	593	1161
338	594	1158
339	596	1157
340	597	1154
341	598	1151
342	599	1148
343	600	1144
344	601	1141
345	602	1138
346	603	1135
347	604	1132
348	605	1129
349	606	1125
350	607	1122
351	608	1119
352	609	1116
353	611	1115
354	612	1112
355	613	1110
356	614	1107
357	615	1104
358	616	1101
359	617	1098
360	618	1095
361	619	1092
362	620	1088
363	621	1085
364	622	1083
365	623	1080
366	625	1079
367	626	1076
368	627	1073
369	628	1070
370	629	1067
371	630	1064
372	631	1062
373	632	1059
374	633	1056
375	634	1053
376	635	1050
377	636	1047
378	637	1044
379	638	1041
380	640	1041
381	642	1038
382	643	1035
383	644	1033
384	645	1030
385	646	1028
386	647	1025
387	648	1023
388	649	1020
389	650	1017
390	651	1014
391	652	1012
392	653	1009
393	655	1007
394	656	1004
395	657	1002
396	657	999
397	658	996
398	659	994
399	660	991
400	661	988
401	662	986
402	665	985
403	666	982
404	668	981
405	669	979
406	670	976
407	671	974
408	672	971
409	673	969
410	674	967
411	675	964
412	676	961
413	677	959
414	678	956
415	679	954
416	680	951
417	681	948
418	682	946
419	683	944
420	684	941
421	685	939
422	686	936
423	687	934
424	688	931
425	689	929
426	690	926
427	691	923
428	692	921
429	693	918
430	694	916
431	696	915
432	697	913
433	698	910
434	699	908
435	700	906
436	701	903
437	702	901
438	703	899
439	704	896
440	705	894
441	706	891
442	707	889
443	708	886
444	711	887
445	712	885
446	714	883
447	715	881
448	716	879
449	717	877
450	718	874
451	719	872
452	720	870
453	721	867
454	722	865
455	727	867
456	728	865
457	729	863
458	730	861
459	731	859
460	733	857
461	734	855
462	735	853
463	736	850
464	737	848
465	738	846
466	740	845
467	742	843
468	743	841
469	744	839
470	745	837
471	746	835
472	747	833
473	748	830
474	749	828
475	750	826
476	751	824
477	752	821
478	754	820
479	755	818
480	757	816
481	758	814
482	759	812
483	760	810
484	761	808
485	762	805
486	762	803
487	764	801
488	765	799
489	766	797
490	767	795
491	769	794
492	770	792
493	771	790
494	772	788
495	773	785
496	774	783
497	775	781
498	776	779
499	777	777
500	779	775
501	779	773
502	780	771
503	781	769
504	784	769
505	786	767
506	787	765
507	788	763
508	789	761
509	790	759
510	791	757
511	792	755
512	793	753
513	794	751
514	795	749
515	796	747
516	798	746
517	799	744
518	800	742
519	801	740
520	802	738
521	803	736
522	804	734
523	805	731
524	806	730
525	807	728
526	808	725
527	809	723
528	810	721
529	811	719
530	813	718
531	814	716
532	815	714
533	816	712
534	817	710
535	818	708
536	819	706
537	820	704
538	821	702
539	822	700
540	823	698
541	824	696
542	825	694
543	827	693
544	828	691
545	829	689
546	830	687
547	831	685
548	832	683
549	833	681
550	834	680
551	836	678
552	837	676
553	838	674
554	839	672
555	840	670
556	841	669
557	842	667
558	843	665
559	844	663
560	845	661
561	846	659
562	847	657
563	848	655
564	850	655
565	851	653
566	852	651
567	855	650
568	856	649
569	858	647
570	859	645
571	860	643
572	861	642
573	862	640
574	863	638
575	864	636
576	865	634
577	866	632
578	867	630
579	869	629
580	871	628
581	872	626
582	873	624
583	874	622
584	875	621
585	876	619
586	877	617
587	878	615
588	879	613
589	880	611
590	881	610
591	882	608
592	885	607
593	886	605
594	887	604
595	888	602
596	890	600
597	891	599
598	892	597
599	893	595
600	894	593
601	895	591
602	896	590
603	897	588
604	899	587
605	900	585
606	901	583
607	902	581
608	903	580
609	905	578
610	906	577
611	907	575
612	909	574
613	910	572
614	912	570
615	913	569
616	915	567
617	916	566
618	917	564
619	918	562
620	919	561
621	920	559
622	921	557
623	922	555
624	923	554
625	924	552
626	925	550
627	928	549
628	929	548
629	930	546
630	931	544
631	932	542
632	933	540
633	933	539
634	934	537
635	936	535
636	937	534
637	938	532
638	939	530
639	940	528
640	942	527
641	943	525
642	944	524
643	945	522
644	946	521
645	947	519
646	948	517
647	949	515
648	950	514
649	951	512
650	952	510
651	953	508
652	955	507
653	956	506
654	957	504
655	958	502
656	959	501
657	960	499
658	961	497
659	962	495
660	963	494
661	964	492
662	965	490
663	966	489
664	967	487
665	968	485
666	970	484
667	971	482
668	972	481
669	973	479
670	975	478
671	976	476
672	977	474
673	978	473
674	979	471
675	980	469
676	981	468
677	982	466
678	983	464
679	985	463
680	986	462
681	987	460
682	988	458
683	989	457
684	990	455
685	992	454
686	993	452
687	994	451
688	995	449
689	996	447
690	997	446
691	1000	445
692	1001	443
693	1002	442
694	1003	440
695	1004	438
696	1005	437
697	1006	435
698	1007	433
699	1008	432
700	1009	430
701	1010	428
702	1011	427
703	1012	425
704	1014	424
705	1015	422
706	1016	421
707	1017	419
708	1018	418
709	1019	416
710	1020	414
711	1021	413
712	1022	411
713	1023	409
714	1024	408
715	1025	406
716	1026	405
717	1027	403
718	1029	402
719	1030	400
720	1032	399
721	1033	397
722	1034	396
723	1035	394
724	1036	393
725	1037	391
726	1038	390
727	1039	388
728	1040	386
729	1041	385
730	1044	384
731	1045	382
732	1046	381
733	1047	379
734	1048	378
735	1049	376
736	1050	375
737	1052	373
738	1052	371
739	1053	370
740	1054	368
741	1055	367
742	1056	365
743	1059	364
744	1060	363
745	1061	361
746	1062	359
747	1063	358
748	1065	357
749	1067	355
750	1068	354
751	1069	352
752	1070	351
753	1071	349
754	1074	348
755	1075	346
756	1076	345
757	1077	343
758	1078	342
759	1080	341
760	1082	339
761	1083	338
762	1084	336
763	1085	335
764	1086	333
765	1088	332
766	1089	331
767	1091	329
768	1092	328
769	1094	326
770	1095	325
771	1097	324
772	1098	322
773	1099	321
774	1100	319
775	1103	318
776	1104	317
777	1106	315
778	1107	314
779	1108	312
780	1109	311
781	1110	309
782	1111	308
783	1112	306
784	1113	305
785	1114	303
786	1115	302
787	1118	300
788	1119	299
789	1120	297
790	1122	296
791	1123	295
792	1124	293
793	1125	292
794	1126	290
795	1127	289
796	1128	287
797	1129	285
798	1132	284
799	1134	283
800	1135	282
801	1136	280
802	1137	279
803	1138	277
804	1139	276
805	1141	274
806	1142	273
807	1144	271
808	1147	271
809	1149	269
810	1150	268
811	1152	266
812	1153	265
813	1155	263
814	1156	262
815	1158	261
816	1160	259
817	1161	258
818	1163	257
819	1164	255
820	1165	254
821	1167	252
822	1168	251
823	1174	250
824	1177	249
825	1178	248
826	1180	246
827	1182	245
828	1184	244
829	1186	243
830	1188	241
831	1191	240
832	1193	239
833	1194	237
834	1196	236
835	1197	234
836	1199	233
837	1200	232
838	1204	231
839	1206	229
840	1208	228
841	1212	227
842	1214	226
843	1215	224
844	1217	223
845	1221	222
846	1223	221
847	1225	219
848	1227	218
849	1229	216
850	1232	215
851	1235	214
852	1237	213
853	1238	211
854	1240	210
855	1243	209
856	1244	207
857	1246	206
858	1247	204
859	1251	203
860	1253	202
861	1255	200
862	1257	199
863	1258	198
864	1260	196
865	1262	195
866	1266	194
867	1267	192
868	1269	191
869	1271	189
870	1272	188
871	1273	186
872	1274	185
873	1275	183
874	1281	183
875	1283	181
876	1284	180
877	1287	178
878	1292	177
879	1294	176
880	1297	175
881	1298	173
882	1300	172
883	1301	170
884	1303	169
885	1304	167
886	1306	166
887	1307	164
888	1308	163
889	1311	162
890	1312	160
891	1314	159
892	1315	157
893	1316	156
894	1317	154
895	1318	153
896	1319	151
897	1321	150
898	1323	148
899	1325	147
900	1327	145
901	1329	144
902	1330	142
903	1331	141
904	1332	139
905	1333	138
906	1334	136
907	1336	135
908	1337	133
909	1341	132
910	1342	131
911	1344	129
912	1345	128
913	1346	126
914	1347	125
915	1348	123
916	1349	122
917	1350	120
918	1351	119
919	1352	117
920	1354	116
921	1355	114
922	1356	113
923	1357	111
924	1358	110
925	1359	108
926	1361	107
927	1362	105
928	1364	104
929	1365	102
930	1366	101
931	1369	99
932	1370	98
933	1372	96
934	1373	95
935	1375	94
936	1377	92
937	1379	91
938	1380	89
939	1381	88
940	1382	86
941	1385	85
942	1386	83
943	1387	82
944	1388	80
945	1390	79
946	1391	77
947	1393	76
948	1394	74
949	1395	73
950	1396	71
951	1397	70
952	1398	68
953	1399	67
954	1400	66
955	1402	64
956	1403	63
957	1404	61
958	1405	60
959	1406	58
960	1407	57
961	1408	55
962	1410	54
963	1413	52
964	1414	51
965	1415	49
966	1417	48
967	1418	46
968	1421	45
969	1422	43
970	1426	42
971	1427	41
972	1428	39
973	1429	38
974	1430	36
975	1431	35
976	1432	33
977	1434	32
978	1436	30
979	1438	29
980	1439	27
981	1441	26
982	1442	24
983	1443	23
984	1445	22
985	1447	20
986	1448	19
987	1450	17
988	1452	16
989	1457	14
990	1460	13
991	1461	11
992	1462	10
993	1466	8
994	1467	7
995	1469	5
996	1470	4
997	1471	2
998	1473	1
999	1474	0
